rawName,normalizedName,occurrences,unitExamples,resolutionStatus,chosenWeaponId,chosenWeaponName,chosenTechBase,candidateWeaponIds,suggestion
Gauss Rifle,gaussrifle,354,Atlas AS7-C; Atlas AS7-CM; Banshee BNC-5S (Sawyer); Black Hawk C; Caesar CES-3R 'Archangel'; Caesar CES-3R; Caesar CES-3S; Caesar CES-4R,ambiguous,,,,is_gauss_rifle; clan_gauss_rifle,
Small Laser,smalllaser,346,Assassin ASN-101; Awesome AWS-8Q; Awesome AWS-8R; Awesome AWS-8T; Awesome AWS-8V; Banshee BNC-3E; Banshee BNC-3M; Banshee BNC-3MC,matched,is_small_laser,Small Laser,Inner Sphere,is_small_laser,
Streak SRM 6,streaksrm6,329,Daishi A; Daishi D; Daishi (Hohiro); Dragonfly D; King Crab KGC-007; Koshi H; Loki Prime; Mad Cat A,ambiguous,,,,is_streak_srm_6; clan_streak_srm_6,
ISMediumLaser,ismediumlaser,324,Mercury MCY-98; Annihilator ANH-1A; Atlas AS7-S; Banshee BNC-5S; Banshee BNC-8S; Black Knight BL-6b-KNT; Blackjack BJ-3; Cataphract CTF-3D,matched,is_medium_laser,Medium Laser,Inner Sphere,is_medium_laser,
LRM 10,lrm10,302,Banshee BNC-3S (Reinesblatt); Centurion CN9-A; Centurion CN9-AH; Centurion CN9-AL; Crusader CRD-3K; Crusader CRD-3L; Cyclops CP-10-HQ; Cyclops CP-10-Q,matched,is_lrm_10,LRM 10,Inner Sphere,is_lrm_10; clan_lrm_10,
Large Laser,largelaser,292,Archer ARC-2K; Atlas AS7-RS; Awesome AWS-8R; Awesome AWS-8T; Awesome AWS-8V; Banshee BNC-3S (Reinesblatt); Black Knight BL-7-KNT-L; Black Knight BL-7-KNT,matched,is_large_laser,Large Laser,Inner Sphere,is_large_laser,
SRM 4,srm4,292,Archer ARC-2S; Archer ARC-2W; Atlas AS7-RS; Bombardier BMB-10D; Cataphract CTF-2X; Commando COM-2D; Crusader CRD-3D; Crusader CRD-3L,matched,is_srm_4,SRM 4,Inner Sphere,is_srm_4; clan_srm_4,
ISERMediumLaser,isermediumlaser,285,Annihilator ANH-3A; Assassin ASN-30; Banshee BNC-7S; Banshee BNC-8S; Black Knight BL-12-KNT; Blackjack BJ-4; Caesar CES-3R (Gertrude); Caesar CES-4S,matched,is_er_medium_laser,ER Medium Laser,Inner Sphere,is_er_medium_laser; clan_er_medium_laser,
Small Pulse Laser,smallpulselaser,275,Awesome AWS-9Q (Klatt); Black Hawk C; Catapult CPLT-C4C; Dragonfly B; Dragonfly H; Fenris B; Gladiator D; Mad Cat B,matched,is_small_pulse_laser,Small Pulse Laser,Inner Sphere,is_small_pulse_laser; clan_small_pulse_laser,
LRM 20,lrm20,273,Archer ARC-2R; Archer ARC-2W; Atlas AS7-D-DC; Atlas AS7-D; Bombardier BMB-10D; Catapult CPLT-C4; Charger CGR-1A9; Highlander HGN-733,ambiguous,,,,is_lrm_20; clan_lrm_20,
Light PPC,lightppc,258,Grasshopper GHR-7K 'Gravedigger'; Grasshopper GHR-7K; King Crab KGC-007; Wolfhound WLF-4W; Battle Cobra BTL-C-2OD; Black Hawk-KU BHKU-OF; Blackjack BJ2-OX; Owens OW-1F,matched,is_light_ppc,Light PPC,Inner Sphere,is_light_ppc,
Flamer,flamer,257,Blackjack BJ-1X; Cicada CDA-2B; Commando COM-3A; Firestarter FS9-A; Firestarter FS9-H; Firestarter FS9-K; Flashman FLS-7K; Flea FLE-15,matched,is_flamer,Flamer,Inner Sphere,is_flamer; clan_flamer,
LRM 5,lrm5,247,Assassin ASN-101; Assassin ASN-21; BattleMaster BLR-1S; Grasshopper GHR-5H; Griffin GRF-1S; Hornet HNT-151; Hunchback HBK-4N; Kintaro KTO-18,ambiguous,,,,is_lrm_5; clan_lrm_5,
Improved Heavy Medium Laser,improvedheavymediumlaser,199,Dark Crow 3; Parash 2; Locust IIC 9; Rifleman C 2; Loki Mk II A; Wulfen H; Wendigo C; Vulture Mk IV D,matched,clan_improved_heavy_medium_laser,Improved Heavy Medium Laser,Clan,clan_improved_heavy_medium_laser,
AP Gauss Rifle,apgaussrifle,188,Dasher F; Dragonfly G; Fenris L; Mad Cat F; Man O' War G; Puma J; Ryoken F; Thor HH,matched,clan_ap_gauss_rifle,AP Gauss Rifle,Clan,clan_ap_gauss_rifle,
ISMediumPulseLaser,ismediumpulselaser,182,Assassin ASN-23; Atlas AS7-K; Awesome AWS-9M; Caesar CES-4S; Cataphract CTF-3L; Catapult CPLT-K5; Centurion CN9-YLW2 'Yen Lo Wang'; Charger CGR-3K,matched,is_medium_pulse_laser,Medium Pulse Laser,Inner Sphere,is_medium_pulse_laser; clan_medium_pulse_laser,
Streak SRM 2,streaksrm2,177,Commando COM-5S; Fenris Prime; Puma D; Bandersnatch BNDR-01B; Battle Hawk BH-K305; Fireball ALM-7D; Fireball ALM-9D; Hercules HRC-LS-9000,ambiguous,,,,is_streak_srm_2; clan_streak_srm_2,
PPC,ppc,175,Awesome AWS-8Q; Awesome AWS-8V; Banshee BNC-3E; Banshee BNC-3M; Banshee BNC-3MC; Banshee BNC-3S; BattleMaster BLR-1D; BattleMaster BLR-1G-DC,matched,is_ppc,PPC,Inner Sphere,is_ppc,
LB 10-X AC,lb10xac,169,Champion CHP-1N2; King Crab KGC-010; Annihilator ANH-2A; Banshee BNC-5S (Vandergriff); Cataphract CTF-3LL; Centurion CN10-B; Crockett CRK-5003-1; Crockett CRK-5004-1,matched,is_lb_10_x_ac,LB 10-X AC,Inner Sphere,is_lb_10_x_ac; clan_lb_10_x_ac,
Medium X-Pulse Laser,mediumxpulselaser,166,Assassin 'Servitor'; Colossus CLS-4S; Copperhead CPR-HD-003; Copperhead CPR-HD-004; Great Turtle GTR-1; Great Turtle GTR-2; Juggernaut JG-R9T2; Juggernaut JG-R9T3,matched,is_medium_xpulse_laser,Medium X-Pulse Laser,Inner Sphere,is_medium_xpulse_laser,
Streak SRM 4,streaksrm4,162,Cyclops CP-11-G; Cyclops CP-12-K; Daishi S; Dasher A; Koshi Prime; Uller Prime; Uller S; Battle Hawk BH-K306,ambiguous,,,,is_streak_srm_4; clan_streak_srm_4,
Heavy Medium Laser,heavymediumlaser,156,Black Hawk H; Dasher K; Dragonfly G; Dragonfly H; Dragonfly I; Fenris H; Gladiator E; Gladiator P,matched,clan_heavy_medium_laser,Heavy Medium Laser,Clan,clan_heavy_medium_laser,
Snub-Nose PPC,snubnoseppc,142,Awesome AWS-10KM; Caesar CES-4R; Grasshopper GHR-7K 'Gravedigger'; Grasshopper GHR-7K; Mauler MAL-1K; Shogun SHG-2F (Trisha); Sunder SD1-OE; Bishamon BSN-5KC,matched,is_snub_nose_ppc,Snub-Nose PPC,Inner Sphere,is_snub_nose_ppc,
SRM 2,srm2,137,Assassin ASN-101; Assassin ASN-21; BattleMaster BLR-1S; Dervish DV-6M; Locust LCT-1S; Sentinel STN-3K; Sentinel STN-3KA; Sentinel STN-3KB,matched,is_srm_2,SRM 2,Inner Sphere,is_srm_2; clan_srm_2,
Heavy PPC,heavyppc,137,Awesome AWS-10KM; Caesar CES-3S; Guillotine GLT-6WB3; King Crab KGC-008B; Zeus ZEU-10WB; Avatar AV1-OH; Black Hawk-KU BHKU-OF; Black Watch BKW-9R,matched,is_heavy_ppc,Heavy PPC,Inner Sphere,is_heavy_ppc,
ER Micro Laser,ermicrolaser,132,Koshi P; Man O' War E; Behemoth 3; Pouncer E; Vixen 4; Grizzly 2; Piranha 2; Piranha 3,matched,clan_er_micro_laser,ER Micro Laser,Clan,clan_er_micro_laser,
Light Machine Gun,lightmachinegun,131,Dasher K; Wolf Trap (Tora) WFT-2; Hellhound 4; Vixen 5; Crossbow H; Marshal MHL-6MC; Men Shen MS1-OE; Wyvern IIC 2,matched,is_light_machine_gun,Light Machine Gun,Inner Sphere,is_light_machine_gun; clan_light_machine_gun,
Rocket Launcher 10,rocketlauncher10,128,Firestarter FS9-C; Cossack C-1FC; Hauptmann HA1-OD; Preta C-PRT-OE Eminus; Archer ARC-6W; Goliath GOL-2H; Locust LCT-1V2; Locust LCT-5V,matched,is_rocket_launcher_10,Rocket Launcher 10,Inner Sphere,is_rocket_launcher_10,
Micro Pulse Laser,micropulselaser,121,Koshi P; Loki D; Puma E; Phantom E; Vixen 4; Piranha 3; Crimson Langur C; Flamberge 2,matched,clan_micro_pulse_laser,Micro Pulse Laser,Clan,clan_micro_pulse_laser,
Ultra AC/10,ultraac10,114,Cyclops CP-12-K; Hatchetman HCT-5D; Man O' War H; Masakari D; Uller B; Bandersnatch BNDR-01B; Behemoth 4; Epimetheus Prime,ambiguous,,,,is_ultra_ac_10; clan_ultra_ac_10,
Plasma Rifle,plasmarifle,108,Cataphract CTF-3LL; Cataphract CTF-5D; King Crab KGC-007; Wolf Trap (Tora) WFT-2; Battle Cobra BTL-C-2OF; Raptor RTX1-OG; Buccaneer BCN-5W; Garm GRM-01A2,matched,is_plasma_rifle,Plasma Rifle,Inner Sphere,is_plasma_rifle,
AMS,ams,107,Black Hawk S; Daishi A; Dasher A; Dasher C; Dragonfly H; Dragonfly I; Exterminator EXT-4C; Fenris A,matched,is_anti_missile_system,Anti-Missile System,Inner Sphere,is_anti_missile_system,
TAG,tag,106,Raven RVN-3L; Anvil ANV-6M; Hitman HM-1; Komodo KIM-2; Komodo KIM-2A; Nexus II NXS2-B; Raijin II RJN-200-B; Scarabus SCB-9A,matched,is_tag,TAG,Inner Sphere,is_tag; clan_tag,
MML 5,mml5,84,Trebuchet TBT-8B; Buccaneer BCN-6W; Hauptmann HA1-OE; Yeoman YMN-10-OR; Yu Huang Y-H11G; Firebee FRB-3E; Gladiator GLD-1R (Keller); Gladiator GLD-5R,matched,is_mml_5,MML 5,Inner Sphere,is_mml_5,
Heavy Small Laser,heavysmalllaser,82,Dasher H; Gladiator E; Koshi F; Koshi H; Loki H; Thor G; Behemoth 2; Phantom H,matched,clan_heavy_small_laser,Heavy Small Laser,Clan,clan_heavy_small_laser,
Rotary AC/5,rotaryac5,80,Hatchetman HCT-6D; Hermes II HER-6D; King Crab KGC-007; Orion ON1-MD; Rakshasa MDG-2A; Emperor EMP-6D; Excalibur EXC-D1; Garm GRM-01C,matched,is_rotary_ac_5,Rotary AC/5,Inner Sphere,is_rotary_ac_5,
Heavy Large Laser,heavylargelaser,79,Daishi H; Gladiator H; Loki H; Mad Cat H; Man O' War H; Masakari H; Puma H; Ryoken H,matched,clan_heavy_large_laser,Heavy Large Laser,Clan,clan_heavy_large_laser,
Plasma Cannon,plasmacannon,79,Dragonfly G; Fenris L; Gladiator P; Loki D; Masakari E; Ryoken F; Thor HH; Grendel F,matched,clan_plasma_cannon,Plasma Cannon,Clan,clan_plasma_cannon,
ISERPPC,iserppc,78,Awesome AWS-9M; Banshee BNC-5S; Banshee BNC-7S; Black Knight BL-12-KNT; Black Knight BL-6b-KNT; Caesar CES-3R (Gertrude); Cataphract CTF-3L; Cataphract CTF-4L,matched,is_er_ppc,ER PPC,Inner Sphere,is_er_ppc; clan_er_ppc,
MML 7,mml7,78,Strider SR1-OG; Arctic Fox AF1F; Barghest BGS-7S; Black Watch BKW-9R; Initiate INI-04; Viking VKG-3A; BattleAxe BKX-8D; Deva C-DVA-OA Dominus,matched,is_mml_7,MML 7,Inner Sphere,is_mml_7,
Ultra AC/5,ultraac5,77,Zeus ZEU-5S; Black Hawk B; Daishi Prime; JagerMech JM7-D; Loki A; Loki H; Mad Cat C; Puma D,matched,is_ultra_ac_5,Ultra AC/5,Inner Sphere,is_ultra_ac_5; clan_ultra_ac_5,
ATM 6,atm6,77,Daishi C; Dasher E; Dragonfly E; Koshi E; Loki C; Thor E; Goshawk 4; Hellhound 5,matched,clan_atm_6,ATM 6,Clan,clan_atm_6,
ISSmallLaser,issmalllaser,76,Mercury MCY-98; Awesome AWS-9Q; Banshee BNC-5S; Banshee BNC-6S; Banshee BNC-8S; Black Knight BL-6b-KNT; Bombardier BMB-05A; Champion CHP-1N,matched,is_small_laser,Small Laser,Inner Sphere,is_small_laser,
ISERLargeLaser,iserlargelaser,73,Atlas AS7-K; Atlas AS7-S2; Banshee BNC-8S; Blackjack BJ-2; Cicada CDA-3G; Clint CLNT-5U; Clint CLNT-6S; Crab CRB-45,matched,is_er_large_laser,ER Large Laser,Inner Sphere,is_er_large_laser; clan_er_large_laser,
Ultra AC/2,ultraac2,71,Daishi B; Koshi D; Mauler MAL-2R; Cauldron-Born C; Fire Falcon A; Night Gyr C; Nobori-nin Prime; Great Wyrm Wyrm,matched,clan_ultra_ac_2,Ultra AC/2,Clan,is_ultra_ac_2; clan_ultra_ac_2,
Heavy Machine Gun,heavymachinegun,68,Dragonfly F; Koshi G; Crossbow C; Buccaneer BCN-5W; Locust IIC 6; Phoenix Hawk L 'Fenikkusu Taka' PXH-11K; Stalking Spider II II; UrbanMech UM-R60B,matched,is_heavy_machine_gun,Heavy Machine Gun,Inner Sphere,is_heavy_machine_gun; clan_heavy_machine_gun,
ISGuardianECM,isguardianecm,66,Assassin ASN-99; Atlas AS7-S2; Awesome AWS-9Q; Banshee BNC-8S; Cataphract CTF-4L; Crab CRB-30; Firefly FFL-4DA; Flea FLE-20,matched,is_guardian_ecm_suite,Guardian ECM Suite,Inner Sphere,is_guardian_ecm_suite,
LB 20-X AC,lb20xac,65,Daishi S; Hunchback HBK-6S; Loki C; Man O' War G; Colossus CLS-4S; Thunder THR-2L; Avatar AV1-OF; Bushwacker BSW-L1,matched,clan_lb_20_x_ac,LB 20-X AC,Clan,is_lb_20_x_ac; clan_lb_20_x_ac,
ER Medium Pulse Laser,ermediumpulselaser,64,Prowler PWR-1X; Shadow Cat II 2; Griffin IIC 7; Cougar X 2; Cougar X 3; Orion C; Ares ARS-V1A Hera; Ursa URA-2C,unmatched,,,,,"Possible altName ""ER Medium Pulse Laser"" for: is_medium_pulse_laser, clan_medium_pulse_laser, is_medium_xpulse_laser, is_er_medium_laser, clan_er_medium_laser"
ATM 9,atm9,63,Fenris E; Gladiator E; Mad Cat E; Masakari D; Puma E; Ryoken E; Behemoth 3; Hellhound 2,matched,clan_atm_9,ATM 9,Clan,clan_atm_9,
Improved Heavy Large Laser,improvedheavylargelaser,63,Warwolf H; Wulfen H; Wendigo C; Mad Cat Mk IV B; Vulture Mk IV C; Karhu G; Loki G; Mad Cat Mk II 5,matched,clan_improved_heavy_large_laser,Improved Heavy Large Laser,Clan,clan_improved_heavy_large_laser,
HAG/20,hag20,62,Black Hawk F; Gladiator K; Loki E; Man O' War M; Puma J; Ryoken G; Thor HH; Uller F,matched,clan_hyper_assault_gauss_20,Hyper-Assault Gauss 20,Clan,clan_hyper_assault_gauss_20,
Anti-Missile System,antimissilesystem,60,Atlas AS7-C; Atlas AS7-CM; Black Hawk A; Dragonfly Prime; Firestarter FS9-S1; Flashman FLS-8K; Loki Prime; Penetrator PTR-4D,matched,is_anti_missile_system,Anti-Missile System,Inner Sphere,is_anti_missile_system; clan_anti_missile_system,
ISC3SlaveUnit,isc3slaveunit,60,Banshee BNC-8S; Bombardier BMB-14K; Catapult CPLT-K4; Catapult CPLT-K5; Centurion CN9-D5; Charger CGR-C; Clint CLNT-5U; Crab CRB-C,matched,is_c3_computer_slave,C3 Computer (Slave),Inner Sphere,is_c3_computer_slave,
Ultra AC/20,ultraac20,60,Daishi 'Prometheus'; Daishi W; Daishi 'Widowmaker'; Enforcer III ENF-6H; Gladiator B; Gladiator C; Gladiator H; Man O' War C,matched,clan_ultra_ac_20,Ultra AC/20,Clan,is_ultra_ac_20; clan_ultra_ac_20,
LB 5-X AC,lb5xac,58,Black Hawk D; Lancelot LNC25-08; Loki B; Man O' War Prime; Puma B; Shogun SHG-2F (Trisha); Uller Prime; Vulture A,matched,clan_lb_5_x_ac,LB 5-X AC,Clan,is_lb_5_x_ac; clan_lb_5_x_ac,
ATM 3,atm3,58,Dragonfly I; Uller E; Baboon 2; Goshawk 3; Jenner IIC 4; Peregrine 4; Phantom E; Snow Fox 3,matched,clan_atm_3,ATM 3,Clan,clan_atm_3,
Light Gauss Rifle,lightgaussrifle,56,Orion ON1-MB; Albatross ALB-4U; Grand Crusader II GRN-D-04; Grand Titan T-IT-N11M; Tempest TMP-3M2 'Storm Tempest'; Avatar AV1-OD; Blackjack BJ2-OE; Emperor EMP-6M,matched,is_light_gauss_rifle,Light Gauss Rifle,Inner Sphere,is_light_gauss_rifle,
Small X-Pulse Laser,smallxpulselaser,50,Assassin 'Servitor'; Longshot LNG-2; Longshot LNG-4; Porcupine PRC-2N; Templar III TLR2-OB; Avalanche AVL-1OC; Lament LMT-3C; Lament LMT-3R,matched,is_small_xpulse_laser,Small X-Pulse Laser,Inner Sphere,is_small_xpulse_laser,
ISSRM6,issrm6,50,Atlas AS7-S; Banshee BNC-5S; Banshee BNC-7S; Champion CHP-1N; Champion CHP-3N; Crockett CRK-5003-3; Guillotine GLT-5M; Hatamoto-Chi HTM-27T,matched,is_srm_6,SRM 6,Inner Sphere,is_srm_6; clan_srm_6,
ER Flamer,erflamer,49,Barghest BGS-7S; Icestorm 2; Wyvern IIC 2; Templar TLR1-OH; Goshawk II 2; Scarecrow UCU-F4r 'Hobbled Scarecrow'; Scarecrow UCU-F4; Vandal LI-OB,unmatched,,,,,"Possible altName ""ER Flamer"" for: is_flamer, clan_flamer, is_flamer_vehicle, clan_flamer_vehicle, is_er_small_laser"
Laser AMS,laserams,48,Morpheus MRP-3T; Spatha SP1-X; Deimos 2; Preta C-PRT-OU Exanimus; Locust IIC 9; Tomahawk II B; Warwolf (Prime); Warwolf B,unmatched,,,,,"Possible altName ""Laser AMS"" for: is_anti_missile_system, is_er_small_laser, clan_er_small_laser, is_er_medium_laser, clan_er_medium_laser"
ISERSmallLaser,isersmalllaser,47,Banshee BNC-8S; Bombardier BMB-14C; Clint CLNT-6S; Crab CRB-30; Exterminator EXT-5F; Flashman FLS-9B; Hermes HER-4K; Hunchback HBK-5SS,matched,is_er_small_laser,ER Small Laser,Inner Sphere,is_er_small_laser; clan_er_small_laser,
Rotary AC/2,rotaryac2,46,Hatchetman HCT-5DD; Paladin PAL-2; Lineholder KW1-LH8 'Linebreaker'; Templar TLR1-OB; Legionnaire LGN-1X; Dark Crow 3; Wolverine WVR-8D; Wolverine WVR-9D,matched,is_rotary_ac_2,Rotary AC/2,Inner Sphere,is_rotary_ac_2,
MML 9,mml9,45,Wolf Trap (Tora) WFT-2; Battle Cobra BTL-C-2OE; Marshal MHL-6MC; Viking VKG-3W; Eyleuka EYL-45A; Titan II TI-2P; Atlas AS8-D; Hatchetman HCT-7S,matched,is_mml_9,MML 9,Inner Sphere,is_mml_9,
Medium VSP Laser,mediumvsplaser,44,Blue Flame BLF-40; Perseus P1E; Eisenfaust EFT-8X; Raptor II RPT-2X; Shadow Hawk SHD-8L; Quasimodo QSM-3D; Yu Huang Y-H12GC; Raptor II RPT-2X2,unmatched,,,,,"Possible altName ""Medium VSP Laser"" for: is_er_medium_laser, clan_er_medium_laser, is_medium_laser, is_medium_pulse_laser, clan_medium_pulse_laser"
CLERMediumLaser,clermediumlaser,41,Annihilator C; Champion C; Hoplite C; Hellfire 2; Hellfire ; Scylla ; Bowman 2; Bowman 3,matched,clan_er_medium_laser,ER Medium Laser,Clan,clan_er_medium_laser; is_er_medium_laser,
ISLRM15,islrm15,41,Atlas AS7-S2; Catapult CPLT-C2; Centurion CN9-D4D; Dervish DV-8D; Guillotine GLT-6WB; Highlander HGN-738; Imp IMP-2E; Imp IMP-3E,matched,is_lrm_15,LRM 15,Inner Sphere,is_lrm_15; clan_lrm_15,
MML 3,mml3,41,Avatar AV1-OH; Strider SR1-OX; Ghost GST-10; Ghost GST-11; Stinger STG-5T; Wasp WSP-8T; Phoenix Hawk L 'Fenikkusu Taka' PXH-11K; Phoenix Hawk L 'Fenikkusu Taka' PXH-11K2,matched,is_mml_3,MML 3,Inner Sphere,is_mml_3,
ISLRM5,islrm5,39,Assassin ASN-23; Cataphract CTF-4X; Firefly FFL-4A; Firefly FFL-4B; Firefly FFL-4C; Firefly FFL-4D; Firefly FFL-4DA; Guillotine GLT-6WB2,matched,is_lrm_5,LRM 5,Inner Sphere,is_lrm_5; clan_lrm_5,
ISImprovedC3CPU,isimprovedc3cpu,39,Bombardier BMB-14C; Champion CHP-3P; Crab CRB-30; Crab CRB-45; Crockett CRK-5005-1; Exterminator EXT-5E; Exterminator EXT-5F; Flashman FLS-9B,matched,is_improved_c3_computer,Improved C3 Computer,Inner Sphere,is_improved_c3_computer,
Medium Re-engineered Laser,mediumreengineeredlaser,39,Prey Seeker PY-SR10; Templar III TLR2-OD; Emperor EMP-8L; Devastator DVS-10; Nyx NX-110; Templar TLR1-OR; Shadow Hawk SHD-6D; Black Hawk R,unmatched,,,,,"Possible altName ""Medium Re-engineered Laser"" for: is_er_medium_laser, clan_er_medium_laser, is_medium_laser, is_medium_pulse_laser, clan_medium_pulse_laser"
AC/2,ac2,38,Vulcan VL-2T; Commando COM-1C; Mauler MAL-1R; Jackrabbit JKR-8T; Shadow Hawk LAM SHD-X1; Mauler MAL-1PT5; Mauler MAL-1PT6; Mauler MAL-1X-AFFC,matched,is_autocannon_2,Autocannon/2,Inner Sphere,is_autocannon_2,
Particle Cannon,particlecannon,37,Thunderbolt TDR-5SS; Cestus CTS-6Z; Devastator DVS-3; Maelstrom MTR-6K; Merlin MLN-1A; Merlin MLN-1B; Merlin MLN-1C; Striker STC-2S,matched,is_ppc,PPC,Inner Sphere,is_ppc,
ISPPC,isppc,37,Awesome AWS-9Q; Blackjack BJ-3; Catapult CPLT-H2; Grasshopper GHR-5N; Hatamoto-Chi HTM-27T; Hatamoto-Hi HTM-27U; Hatamoto-Hi HTM-C; Hatamoto-Hi HTM-CM,matched,is_ppc,PPC,Inner Sphere,is_ppc,
ATM 12,atm12,37,Black Hawk E; Man O' War E; Thor E; Vulture D; Black Lanner E; Fire Falcon E; Hunchback IIC 3; Kingfisher E,matched,clan_atm_12,ATM 12,Clan,clan_atm_12,
Arrow IV,arrowiv,37,Anvil ANV-8M; Naga A; Naga B; Naga C; Naga D; Naga Prime; Thunder THR-3L; O-Bakemono OBK-M10,unmatched,,,,,"Add ""Arrow IV"" as an altName to the correct weapon definition."
Autocannon/10,autocannon10,36,Atlas AS7-RS; Banshee BNC-3MC; Banshee BNC-3S (Reinesblatt); Banshee BNC-3S; Cataphract CTF-2X; Centurion CN9-A; Champion CHP-2N; Crockett CRK-5003-0,matched,is_autocannon_10,Autocannon/10,Inner Sphere,is_autocannon_10,
AC/5,ac5,36,Clint CLNT-2-3T; Dragon DRG-1N; Zeus ZEU-6S; Dragon DRG-7N; Templar TLR1-O (Grayson); Marauder MAD-1R; Mongrel MGL-T1; Shadow Hawk SHD-2D2,matched,is_autocannon_5,Autocannon/5,Inner Sphere,is_autocannon_5,
ISLargeLaser,islargelaser,36,Black Knight BL-12-KNT; Cataphract CTF-4X; Champion CHP-3N; Crab CRB-C; Flashman FLS-C; JagerMech JM6-H; Katana (Crockett) CRK-5003-C; Katana (Crockett) CRK-5003-CM,matched,is_large_laser,Large Laser,Inner Sphere,is_large_laser,
M-Pod,mpod,36,Bombard BMB-1X; Hachiwara HCA-3T; Hachiwara HCA-4T; Hachiwara HCA-4U; Ronin SA-RN7; Neanderthal NTL-AG; Highlander HGN-740; Goliath GOL-7K,unmatched,,,,,"Add ""M-Pod"" as an altName to the correct weapon definition."
Magshot,magshot,36,Copperhead CPR-HD-003; Copperhead CPR-HD-004; Juggernaut JG-R9T3; Morpheus MRP-3S; Morpheus MRP-3W; Silver Fox SVR-5X; Silver Fox SVR-5Y; Tsunami TS-P1D,unmatched,,,,,"Add ""Magshot"" as an altName to the correct weapon definition."
ISLBXAC10,islbxac10,35,Annihilator ANH-4A; Banshee BNC-6S; Banshee BNC-8S; Cataphract CTF-3D; Cataphract CTF-3L; Centurion CN9-D; Centurion CN9-D3; Champion CHP-1N,matched,is_lb_10_x_ac,LB 10-X AC,Inner Sphere,is_lb_10_x_ac,
ISLightPPC,islightppc,35,Assassin ASN-99; Charger CGR-KMZ; Crab CRB-45; Exterminator EXT-5F; Flea FLE-20; Guillotine GLT-6WB2; Katana (Crockett) CRK-5003-CJ; Spider SDR-7KC,matched,is_light_ppc,Light PPC,Inner Sphere,is_light_ppc,
MRM 10,mrm10,35,Dragon DRG-7N; Battle Cobra BTL-C-2OB; Owens OW-1E; Owens OW-1R; Raptor RTX1-OE; Bishamon BSN-4K; Grigori C-GRG-OC Comminus; Panther PNT-12K2,matched,is_mrm_10,MRM 10,Inner Sphere,is_mrm_10,
