rawName,normalizedName,occurrences,unitExamples,resolutionStatus,chosenWeaponId,chosenWeaponName,chosenTechBase,candidateWeaponIds,suggestion
ISC3SlaveUnit,isc3slaveunit,57,Banshee BNC-8S; Bombardier BMB-14K; Catapult CPLT-K4; Catapult CPLT-K5; Centurion CN9-D5; Charger CGR-C; Clint CLNT-5U; Crab CRB-C,matched,is_c3_computer_slave,C3 Computer (Slave),Inner Sphere,is_c3_computer_slave,
Anti-Missile System,antimissilesystem,56,Atlas AS7-C; Atlas AS7-CM; Black Hawk A; Dragonfly Prime; Firestarter FS9-S1; Flashman FLS-8K; Loki Prime; Penetrator PTR-4D,matched,is_anti_missile_system,Anti-Missile System,Inner Sphere,is_anti_missile_system; clan_anti_missile_system,
ATM 3,atm3,56,Dragonfly I; Uller E; Baboon 2; Goshawk 3; Jenner IIC 4; Peregrine 4; Phantom E; Snow Fox 3,matched,clan_atm_3,ATM 3,Clan,clan_atm_3,
LB 5-X AC,lb5xac,53,Black Hawk D; Lancelot LNC25-08; Loki B; Man O' War Prime; Puma B; Shogun SHG-2F (Trisha); Uller Prime; Vulture A,matched,clan_lb_5_x_ac,LB 5-X AC,Clan,is_lb_5_x_ac; clan_lb_5_x_ac,
Ultra AC/20,ultraac20,53,Daishi 'Prometheus'; Daishi W; Daishi 'Widowmaker'; Enforcer III ENF-6H; Gladiator B; Gladiator C; Gladiator H; Man O' War C,matched,is_ultra_ac_20,Ultra AC/20,Inner Sphere,is_ultra_ac_20; clan_ultra_ac_20,
Improved Heavy Large Laser,improvedheavylargelaser,53,Warwolf H; Wulfen H; Mad Cat Mk IV B; Vulture Mk IV C; Karhu G; Loki G; Mad Cat Mk II 5; Nobori-nin F,matched,clan_improved_heavy_large_laser,Improved Heavy Large Laser,Clan,clan_improved_heavy_large_laser,
ER Medium Pulse Laser,ermediumpulselaser,50,Cougar X 2; Cougar X 3; Orion C; Ares ARS-V1A Hera; Ursa URA-2C; Lupus D; Beowulf IIC IIC; Vulture G,matched,clan_medium_er_pulse_laser,Medium ER Pulse Laser,Clan,clan_medium_er_pulse_laser,
ISSRM6,issrm6,49,Atlas AS7-S; Banshee BNC-5S; Banshee BNC-7S; Champion CHP-1N; Champion CHP-3N; Crockett CRK-5003-3; Guillotine GLT-5M; Hatamoto-Chi HTM-27T,matched,is_srm_6,SRM 6,Inner Sphere,is_srm_6; clan_srm_6,
Light Gauss Rifle,lightgaussrifle,46,Orion ON1-MB; Albatross ALB-4U; Grand Crusader II GRN-D-04; Grand Titan T-IT-N11M; Tempest TMP-3M2 'Storm Tempest'; Avatar AV1-OD; Blackjack BJ2-OE; Emperor EMP-6M,matched,is_light_gauss_rifle,Light Gauss Rifle,Inner Sphere,is_light_gauss_rifle,
MML 9,mml9,44,Wolf Trap (Tora) WFT-2; Battle Cobra BTL-C-2OE; Marshal MHL-6MC; Viking VKG-3W; Eyleuka EYL-45A; Titan II TI-2P; Atlas AS8-D; Hatchetman HCT-7S,matched,is_mml_9,MML 9,Inner Sphere,is_mml_9,
ISERSmallLaser,isersmalllaser,43,Banshee BNC-8S; Bombardier BMB-14C; Clint CLNT-6S; Crab CRB-30; Exterminator EXT-5F; Flashman FLS-9B; Hermes HER-4K; Hunchback HBK-5SS,matched,is_er_small_laser,ER Small Laser,Inner Sphere,is_er_small_laser; clan_er_small_laser,
Rotary AC/2,rotaryac2,40,Hatchetman HCT-5DD; Lineholder KW1-LH8 'Linebreaker'; Templar TLR1-OB; Legionnaire LGN-1X; Wolverine WVR-8D; Wolverine WVR-9D; Deimos D; Pendragon PDG-3R,matched,is_rotary_ac_2,Rotary AC/2,Inner Sphere,is_rotary_ac_2,
ISLRM15,islrm15,38,Atlas AS7-S2; Catapult CPLT-C2; Centurion CN9-D4D; Dervish DV-8D; Guillotine GLT-6WB; Highlander HGN-738; Imp IMP-2E; Imp IMP-3E,matched,is_lrm_15,LRM 15,Inner Sphere,is_lrm_15; clan_lrm_15,
Particle Cannon,particlecannon,37,Thunderbolt TDR-5SS; Cestus CTS-6Z; Devastator DVS-3; Maelstrom MTR-6K; Merlin MLN-1A; Merlin MLN-1B; Merlin MLN-1C; Striker STC-2S,matched,is_ppc,PPC,Inner Sphere,is_ppc,
AC/2,ac2,37,Vulcan VL-2T; Commando COM-1C; Mauler MAL-1R; Jackrabbit JKR-8T; Mauler MAL-1PT5; Mauler MAL-1PT6; Mauler MAL-1X-AFFC; Mauler MAL-1Y,matched,is_autocannon_2,Autocannon/2,Inner Sphere,is_autocannon_2,
ISLRM5,islrm5,37,Assassin ASN-23; Cataphract CTF-4X; Firefly FFL-4A; Firefly FFL-4B; Firefly FFL-4C; Firefly FFL-4D; Firefly FFL-4DA; Guillotine GLT-6WB2,matched,is_lrm_5,LRM 5,Inner Sphere,is_lrm_5; clan_lrm_5,
ATM 12,atm12,37,Black Hawk E; Man O' War E; Thor E; Vulture D; Black Lanner E; Fire Falcon E; Hunchback IIC 3; Kingfisher E,matched,clan_atm_12,ATM 12,Clan,clan_atm_12,
ISImprovedC3CPU,isimprovedc3cpu,37,Bombardier BMB-14C; Champion CHP-3P; Crab CRB-30; Crab CRB-45; Crockett CRK-5005-1; Exterminator EXT-5F; Flashman FLS-9B; Flashman FLS-9C,matched,is_improved_c3_computer,Improved C3 Computer,Inner Sphere,is_improved_c3_computer,
MML 3,mml3,37,Avatar AV1-OH; Ghost GST-10; Ghost GST-11; Stinger STG-5T; Wasp WSP-8T; Phoenix Hawk L 'Fenikkusu Taka' PXH-11K; Phoenix Hawk L 'Fenikkusu Taka' PXH-11K2; Gambit GBT-1G,matched,is_mml_3,MML 3,Inner Sphere,is_mml_3,
Autocannon/10,autocannon10,36,Atlas AS7-RS; Banshee BNC-3MC; Banshee BNC-3S (Reinesblatt); Banshee BNC-3S; Cataphract CTF-2X; Centurion CN9-A; Champion CHP-2N; Crockett CRK-5003-0,matched,is_autocannon_10,Autocannon/10,Inner Sphere,is_autocannon_10,
ISPPC,isppc,36,Awesome AWS-9Q; Blackjack BJ-3; Catapult CPLT-H2; Grasshopper GHR-5N; Hatamoto-Chi HTM-27T; Hatamoto-Hi HTM-27U; Hatamoto-Hi HTM-C; Hatamoto-Hi HTM-CM,matched,is_ppc,PPC,Inner Sphere,is_ppc,
Medium Re-engineered Laser,mediumreengineeredlaser,35,Prey Seeker PY-SR10; Emperor EMP-8L; Devastator DVS-10; Nyx NX-110; Templar TLR1-OR; Shadow Hawk SHD-6D; Black Hawk R; Fire Falcon R,matched,is_medium_re-engineered_laser,Medium Re-Engineered Laser,Inner Sphere,is_medium_re-engineered_laser,
Small X-Pulse Laser,smallxpulselaser,35,Templar III TLR2-OB; Avalanche AVL-1OC; Lament LMT-3C; Lament LMT-3R; Phoenix Hawk PXH-4M; Thunderbolt TDR-7S; Crusader CRD-7D; Wolfhound WLF-6S,matched,is_small_xpulse_laser,Small X-Pulse Laser,Inner Sphere,is_small_xpulse_laser,
CLERMediumLaser,clermediumlaser,34,Annihilator C; Champion C; Hoplite C; Hellfire 2; Hellfire ; Scylla ; Bowman 2; Bowman 3,matched,clan_er_medium_laser,ER Medium Laser,Clan,clan_er_medium_laser; is_er_medium_laser,
Arrow IV,arrowiv,34,Anvil ANV-8M; Naga A; Naga B; Naga C; Naga D; Naga Prime; Thunder THR-3L; O-Bakemono OBK-M10,matched,clan_arrow_iv,Arrow IV,Clan,is_arrow_iv; clan_arrow_iv,
ISLBXAC10,islbxac10,33,Annihilator ANH-4A; Banshee BNC-6S; Banshee BNC-8S; Cataphract CTF-3D; Cataphract CTF-3L; Centurion CN9-D; Centurion CN9-D3; Champion CHP-1N,matched,is_lb_10_x_ac,LB 10-X AC,Inner Sphere,is_lb_10_x_ac,
ISLightPPC,islightppc,32,Assassin ASN-99; Charger CGR-KMZ; Crab CRB-45; Exterminator EXT-5F; Flea FLE-20; Guillotine GLT-6WB2; Katana (Crockett) CRK-5003-CJ; Spider SDR-7KC,matched,is_light_ppc,Light PPC,Inner Sphere,is_light_ppc,
MRM 10,mrm10,32,Dragon DRG-7N; Battle Cobra BTL-C-2OB; Owens OW-1E; Raptor RTX1-OE; Bishamon BSN-4K; Grigori C-GRG-OC Comminus; Panther PNT-12K2; Targe TRG-1N,matched,is_mrm_10,MRM 10,Inner Sphere,is_mrm_10,
ISLargeLaser,islargelaser,31,Black Knight BL-12-KNT; Cataphract CTF-4X; Champion CHP-3N; Crab CRB-C; Flashman FLS-C; JagerMech JM6-H; Katana (Crockett) CRK-5003-C; Katana (Crockett) CRK-5003-CM,matched,is_large_laser,Large Laser,Inner Sphere,is_large_laser,
Narc,narc,30,Loki A; Masakari B; Orion ON1-M-DC; Orion ON1-MB; Orion ON1-MD; Puma C; Raven RVN-3L; Raven RVN-3M,matched,is_narc_missile_beacon,Narc Missile Beacon,Inner Sphere,is_narc_missile_beacon,
TSEMP Cannon,tsempcannon,30,Gyrfalcon 4; Phoenix Hawk L 'Fenikkusu Taka' PXH-11K; Catapult II CPLT-L7; Mortis MS-1P; Raven II RVN-5X; Yinghuochong YHC-3Y; Black Hawk X; Ebony MEB-12,matched,tsemp_cannon,TSEMP Cannon,Inner Sphere,tsemp_cannon,
C3 Master with TAG,c3masterwithtag,29,Cyclops CP-11-C; Daimyo DMO-5K; Gunslinger GUN-2ERD; Komodo KIM-3C; Naginata NG-C3A; Naginata NG-C3B; Avatar AV1-OC; O-Bakemono OBK-M12,matched,is_c3_computer_master,C3 Computer (Master),Inner Sphere,is_c3_computer_master,
Thunderbolt 5,thunderbolt5,29,Malak C-MK-OE Eminus; Avalanche AVL-1OB; Sunder SD1-OF; Warhammer WHM-8D2; Shadow Hawk SHD-5R; Griffin IIC 9; Sentinel STN-6S; Thunderbolt TDR-12R,matched,is_thunderbolt_5,Thunderbolt 5,Inner Sphere,is_thunderbolt_5,
Laser AMS,laserams,29,Warwolf (Prime); Warwolf B; Warwolf C; Hatamoto-Godai HTM-30Z; Jackalope JLP-BD; Jackalope JLP-C; Jackalope JLP-KW 'Wolpertinger'; Jackalope JLP-KA,ambiguous,,,,is_laser_ams; clan_laser_ams,
ISSRM4,issrm4,28,Bombardier BMB-12D; Commando COM-7B; Commando COM-7S; Javelin JVN-11B; Jenner JR7-C; Orion ON1-M; Panther PNT-10K; Panther PNT-C,matched,is_srm_4,SRM 4,Inner Sphere,is_srm_4; clan_srm_4,
LB 2-X AC,lb2xac,28,Fenris A; Hankyu B; Night Gyr B; Nobori-nin A; Men Shen MS1-OB; Uziel UZL-3S; Templar TLR1-OG; Ryoken II II,matched,clan_lb_2_x_ac,LB 2-X AC,Clan,is_lb_2_x_ac; clan_lb_2_x_ac,
