name,chassis,model,techBase,rulesLevel,year,tonnage,expectedBV,expectedCostCBills,source,sourceUrl,notes
Shadow Hawk SHD-2H,Shadow Hawk,SHD-2H,Inner Sphere,Introductory,2550,55,1064,4444057,Mordel unit page,https://mordel.net/tro.php?a=vt&id=143&ut=bm,Introductory mixed weapon regression
Griffin GRF-1N,Griffin,GRF-1N,Inner Sphere,Introductory,2492,55,1272,4864107,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory PPC/LRM jumper
Dragon DRG-1N,Dragon,DRG-1N,Inner Sphere,Introductory,2754,60,1125,4934080,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory heavy baseline
JagerMech JM6-S,JagerMech,JM6-S,Inner Sphere,Introductory,2774,65,901,5215925,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory ballistic-heavy test
Thunderbolt TDR-5S,Thunderbolt,TDR-5S,Inner Sphere,Introductory,2505,65,1335,5268560,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory classic heavy
Grasshopper GHR-5H,Grasshopper,GHR-5H,Inner Sphere,Introductory,2780,70,1427,5973573,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory heavy jumper
Orion ON1-K,Orion,ON1-K,Inner Sphere,Introductory,2525,75,1429,6501250,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory assault/heavy baseline
Stalker STK-3F,Stalker,STK-3F,Inner Sphere,Introductory,2594,85,1559,7252925,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory assault missile/energy
Longbow LGB-0W2,Longbow,LGB-0W2,Inner Sphere,Introductory,2531,85,1410,8321608,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=614,Introductory assault missile platform
Archer ARC-9M,Archer,ARC-9M,Inner Sphere,Standard,3076,70,1811,11371640,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,"Improved jump jets, Artemis, light engine"
BattleMaster BLR-2C,BattleMaster,BLR-2C,Inner Sphere,Advanced,2925,85,1563,9894293,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,Advanced rules baseline
Crusader CRD-7L,Crusader,CRD-7L,Inner Sphere,Standard,3067,65,1749,6277260,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,CASE and missile reference
Goliath GOL-6M,Goliath,GOL-6M,Inner Sphere,Advanced,3083,80,1742,8746200,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,Quad/advanced coverage
Griffin IIC,Griffin IIC,,Clan,Standard,2852,40,1608,4171510,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,Clan standard baseline
Locust IIC 9,Locust IIC,9,Clan,Advanced,3085,25,1133,17978333,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,Clan advanced light
Marauder II MAD-6M,Marauder II,MAD-6M,Inner Sphere,Advanced,3078,100,2218,29329333,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,100-ton advanced IS
Marauder IIC 4,Marauder IIC,4,Clan,Standard,3070,85,3447,21239233,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,High-BV Clan standard
Ostscout OTT-10CS,Ostscout,OTT-10CS,Inner Sphere,Standard,3071,35,862,9449100,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,Probe/scout equipment coverage
Phoenix Hawk PXH-4L,Phoenix Hawk,PXH-4L,Inner Sphere,Advanced,3066,45,1282,7756340,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,Advanced IS medium
Rifleman RFL-9T,Rifleman,RFL-9T,Inner Sphere,Standard,3071,60,1503,6436800,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,"Stealth armor, targeting computer"
Rifleman IIC 5,Rifleman IIC,5,Clan,Standard,3069,65,2343,6433350,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=462,Clan Rifleman coverage
Hellion D,Hellion,D,Clan,Standard,3068,30,1761,6561425,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=614,Clan light Omni
Masakari (Warhawk) I,Masakari (Warhawk),I,Clan,Standard,3050,85,3026,25948948,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=614,Clan Omni high BV
Mastodon B,Mastodon,B,Clan,Standard,3148,95,2793,28825509,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=614,Mordel value; may differ from local MegaMekLab export
Shadow Hawk IIC 11,Shadow Hawk IIC,11,Clan,Advanced,3141,45,1692,5302578,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=614,Advanced Clan medium
Grendel (Mongrel) G,Grendel (Mongrel),G,Clan,Standard,3090,45,2209,18545228,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&fltr=&id=554,Supercharger / Watchdog ECM regression
Sidewinder PRIME,Sidewinder,PRIME,Clan,Standard,3049,75,3073,22724297,Mordel unit page,https://mordel.net/tro.php?a=vt&id=53056&ut=bm,"MASC, Omni, Artemis, Clan CASE regression"
