id,unitType,chassis,model,name,fileName,relativePath,tonnage,weightClass,bv,costCBills,techBase,rulesLevel,year,era,role
meks-meks-3055u-albatross-alb-4u,meks,Albatross,ALB-4U,Albatross,Albatross ALB-4U.mtf,meks/3055U/Albatross ALB-4U.mtf,95,Assault,,,Inner Sphere,Standard,3063,Civil War,Brawler
meks-meks-shrapnel-vol-13-albatross-alb-4ur,meks,Albatross,ALB-4Ur,Albatross,Albatross ALB-4Ur.mtf,meks/Shrapnel/Vol 13/Albatross ALB-4Ur.mtf,95,Assault,,,Inner Sphere,Standard,3103,Republic,
meks-meks-shrapnel-vol-13-albatross-alb-5u,meks,Albatross,ALB-5U,Albatross,Albatross ALB-5U.mtf,meks/Shrapnel/Vol 13/Albatross ALB-5U.mtf,95,Assault,,,Inner Sphere,Standard,3091,Republic,
meks-meks-shrapnel-vol-13-albatross-alb-5w,meks,Albatross,ALB-5W,Albatross,Albatross ALB-5W.mtf,meks/Shrapnel/Vol 13/Albatross ALB-5W.mtf,95,Assault,,,Inner Sphere,Advanced,3070,Jihad,
meks-meks-turning-points-jtp-atreus-albatross-alb-5w-dantalion,meks,Albatross,ALB-5W (Dantalion),Albatross,Albatross ALB-5W Dantalion.mtf,meks/Turning Points/JTP Atreus/Albatross ALB-5W Dantalion.mtf,95,Assault,,,Inner Sphere,Advanced,3073,Jihad,Brawler
meks-meks-shrapnel-vol-13-albatross-alb-6u,meks,Albatross,ALB-6U,Albatross,Albatross ALB-6U.mtf,meks/Shrapnel/Vol 13/Albatross ALB-6U.mtf,95,Assault,,,Inner Sphere,Standard,3118,Republic,
meks-meks-shrapnel-vol-13-albatross-c-sooty-albatross,meks,Albatross,C 'Sooty Albatross',Albatross,Albatross C 'Sooty Albatross'.mtf,meks/Shrapnel/Vol 13/Albatross C 'Sooty Albatross'.mtf,95,Assault,,,Mixed,Standard,3148,Dark Age,
meks-meks-historicals-hist-reunification-war-alfar-al-a1,meks,Alfar,AL-A1,Alfar,Alfar AL-A1.mtf,meks/Historicals/Hist Reunification War/Alfar AL-A1.mtf,55,Medium,,,Inner Sphere,Standard,2573,Star League,Skirmisher
meks-meks-historicals-hist-reunification-war-alfar-al-d1-dokkalfar,meks,Alfar,AL-D1 'Dökkálfar',Alfar,Alfar AL-D1 Dokkalfar.mtf,meks/Historicals/Hist Reunification War/Alfar AL-D1 Dokkalfar.mtf,55,Medium,,,Inner Sphere,Experimental,2573,Star League,Sniper
meks-meks-rec-guides-ilclan-vol-24-alpha-wolf-a,meks,Alpha Wolf,A,Alpha Wolf,Alpha Wolf A.mtf,meks/Rec Guides ilClan/Vol 24/Alpha Wolf A.mtf,90,Assault,,,Clan,Standard,3150,Dark Age,Brawler
meks-meks-rec-guides-ilclan-vol-24-alpha-wolf-b,meks,Alpha Wolf,B,Alpha Wolf,Alpha Wolf B.mtf,meks/Rec Guides ilClan/Vol 24/Alpha Wolf B.mtf,90,Assault,,,Clan,Standard,3150,Dark Age,Brawler
meks-meks-rec-guides-ilclan-vol-24-alpha-wolf-c,meks,Alpha Wolf,C,Alpha Wolf,Alpha Wolf C.mtf,meks/Rec Guides ilClan/Vol 24/Alpha Wolf C.mtf,90,Assault,,,Clan,Standard,3150,Dark Age,Sniper
meks-meks-rec-guides-ilclan-vol-24-alpha-wolf-prime,meks,Alpha Wolf,Prime,Alpha Wolf,Alpha Wolf Prime.mtf,meks/Rec Guides ilClan/Vol 24/Alpha Wolf Prime.mtf,90,Assault,,,Clan,Standard,3150,Dark Age,Sniper
meks-meks-rec-guides-ilclan-vol-17-amarok-2,meks,Amarok,2,Amarok,Amarok 2.mtf,meks/Rec Guides ilClan/Vol 17/Amarok 2.mtf,100,Assault,,,Clan,Advanced,3150,Dark Age,Brawler
meks-meks-rec-guides-ilclan-vol-17-amarok-3,meks,Amarok,3,Amarok,Amarok 3.mtf,meks/Rec Guides ilClan/Vol 17/Amarok 3.mtf,100,Assault,,,Clan,Advanced,3150,Dark Age,Juggernaut
meks-meks-3050u-annihilator-anh-1a,meks,Annihilator,ANH-1A,Annihilator,Annihilator ANH-1A.mtf,meks/3050U/Annihilator ANH-1A.mtf,100,Assault,,,Inner Sphere,Introductory,3009,Succession Wars,Juggernaut
meks-meks-turning-points-htp-death-to-mercenaries-annihilator-anh-1e,meks,Annihilator,ANH-1E,Annihilator,Annihilator ANH-1E.mtf,meks/Turning Points/HTP Death to Mercenaries/Annihilator ANH-1E.mtf,100,Assault,,,Inner Sphere,Introductory,3028,Succession Wars,Juggernaut
meks-meks-operation-klondike-annihilator-anh-1g,meks,Annihilator,ANH-1G,Annihilator,Annihilator ANH-1G.mtf,meks/Operation Klondike/Annihilator ANH-1G.mtf,100,Assault,,,Inner Sphere,Standard,2823,Succession Wars,Juggernaut
meks-meks-operation-klondike-annihilator-anh-1x,meks,Annihilator,ANH-1X,Annihilator,Annihilator ANH-1X.mtf,meks/Operation Klondike/Annihilator ANH-1X.mtf,100,Assault,,,Inner Sphere,Standard,2779,Star League,Juggernaut
meks-meks-3050u-annihilator-anh-2a,meks,Annihilator,ANH-2A,Annihilator,Annihilator ANH-2A.mtf,meks/3050U/Annihilator ANH-2A.mtf,100,Assault,,,Inner Sphere,Standard,3048,Succession Wars,Juggernaut
meks-meks-xtrs-mercenaries-annihilator-anh-2ax,meks,Annihilator,ANH-2AX,Annihilator,Annihilator ANH-2AX.mtf,meks/XTRs/Mercenaries/Annihilator ANH-2AX.mtf,100,Assault,,,Inner Sphere,Experimental,3074,Jihad,Sniper
meks-meks-3050u-annihilator-anh-3a,meks,Annihilator,ANH-3A,Annihilator,Annihilator ANH-3A.mtf,meks/3050U/Annihilator ANH-3A.mtf,100,Assault,,,Inner Sphere,Standard,3068,Jihad,Juggernaut
meks-meks-3050u-annihilator-anh-4a,meks,Annihilator,ANH-4A,Annihilator,Annihilator ANH-4A.mtf,meks/3050U/Annihilator ANH-4A.mtf,100,Assault,,,Inner Sphere,Standard,3069,Jihad,Sniper
meks-meks-rec-guides-ilclan-vol-24-annihilator-anh-5w,meks,Annihilator,ANH-5W,Annihilator,Annihilator ANH-5W.mtf,meks/Rec Guides ilClan/Vol 24/Annihilator ANH-5W.mtf,100,Assault,,,Mixed,Standard,3134,Dark Age,Sniper
meks-meks-3050u-annihilator-c,meks,Annihilator,C,Annihilator,Annihilator C.mtf,meks/3050U/Annihilator C.mtf,100,Assault,,,Clan,Standard,2848,Succession Wars,Sniper
meks-meks-operation-klondike-annihilator-bryan-gausszilla,meks,Annihilator,C 'Gausszilla',Annihilator,Annihilator Bryan Gausszilla.mtf,meks/Operation Klondike/Annihilator Bryan Gausszilla.mtf,100,Assault,,,Clan,Standard,2844,Succession Wars,Juggernaut
meks-meks-operation-klondike-annihilator-c2,meks,Annihilator,C 2,Annihilator,Annihilator C2.mtf,meks/Operation Klondike/Annihilator C2.mtf,100,Assault,,,Clan,Standard,2850,Succession Wars,Sniper
meks-meks-3145-davion-antlion-lk-3d,meks,Antlion,LK-3D,Antlion,Antlion LK-3D.mtf,meks/3145/Davion/Antlion LK-3D.mtf,45,Medium,,,Mixed,Experimental,3117,Republic,Missile Boat
meks-meks-3067-anubis-abs-3l,meks,Anubis,ABS-3L,Anubis,Anubis ABS-3L.mtf,meks/3067/Anubis ABS-3L.mtf,30,Light,,,Inner Sphere,Standard,3063,Civil War,Missile Boat
meks-meks-xtrs-periphery-anubis-abs-3mc,meks,Anubis,ABS-3MC,Anubis,Anubis ABS-3MC.mtf,meks/XTRs/Periphery/Anubis ABS-3MC.mtf,30,Light,,,Inner Sphere,Experimental,3081,Republic,Missile Boat
meks-meks-3067-anubis-abs-3r,meks,Anubis,ABS-3R,Anubis,Anubis ABS-3R.mtf,meks/3067/Anubis ABS-3R.mtf,30,Light,,,Inner Sphere,Standard,3064,Civil War,Missile Boat
meks-meks-3067-anubis-abs-3t,meks,Anubis,ABS-3T,Anubis,Anubis ABS-3T.mtf,meks/3067/Anubis ABS-3T.mtf,30,Light,,,Inner Sphere,Standard,3067,Civil War,Striker
meks-meks-3067-unabridged-is-meks-anubis-abs-4c,meks,Anubis,ABS-4C,Anubis,Anubis ABS-4C.mtf,meks/3067 Unabridged/IS Meks/Anubis ABS-4C.mtf,30,Light,,,Inner Sphere,Standard,3082,Republic,Missile Boat
meks-meks-3145-liao-anubis-abs-5y,meks,Anubis,ABS-5Y,Anubis,Anubis ABS-5Y.mtf,meks/3145/Liao/Anubis ABS-5Y.mtf,30,Light,,,Inner Sphere,Standard,3121,Republic,Missile Boat
meks-meks-3145-liao-anubis-abs-5z,meks,Anubis,ABS-5Z,Anubis,Anubis ABS-5Z.mtf,meks/3145/Liao/Anubis ABS-5Z.mtf,30,Light,,,Inner Sphere,Standard,3124,Republic,Striker
meks-meks-3055u-anvil-anv-3m,meks,Anvil,ANV-3M,Anvil,Anvil ANV-3M.mtf,meks/3055U/Anvil ANV-3M.mtf,60,Heavy,,,Inner Sphere,Standard,3055,Clan Invasion,Skirmisher
meks-meks-3055u-anvil-anv-3r,meks,Anvil,ANV-3R,Anvil,Anvil ANV-3R.mtf,meks/3055U/Anvil ANV-3R.mtf,60,Heavy,,,Inner Sphere,Standard,3067,Civil War,Skirmisher
meks-meks-3055u-anvil-anv-5m,meks,Anvil,ANV-5M,Anvil,Anvil ANV-5M.mtf,meks/3055U/Anvil ANV-5M.mtf,60,Heavy,,,Inner Sphere,Standard,3057,Clan Invasion,Skirmisher
meks-meks-3055u-anvil-anv-5q,meks,Anvil,ANV-5Q,Anvil,Anvil ANV-5Q.mtf,meks/3055U/Anvil ANV-5Q.mtf,60,Heavy,,,Inner Sphere,Standard,3067,Civil War,Skirmisher
meks-meks-3055u-anvil-anv-6m,meks,Anvil,ANV-6M,Anvil,Anvil ANV-6M.mtf,meks/3055U/Anvil ANV-6M.mtf,60,Heavy,,,Inner Sphere,Standard,3058,Clan Invasion,Skirmisher
meks-meks-3055u-anvil-anv-8m,meks,Anvil,ANV-8M,Anvil,Anvil ANV-8M.mtf,meks/3055U/Anvil ANV-8M.mtf,60,Heavy,,,Inner Sphere,Advanced,3060,Clan Invasion,Missile Boat
meks-meks-3145-marik-anzu-zu-g60,meks,Anzu,ZU-G60,Anzu,Anzu ZU-G60.mtf,meks/3145/Marik/Anzu ZU-G60.mtf,60,Heavy,,,Inner Sphere,Standard,3098,Republic,Sniper
meks-meks-3145-marik-anzu-zu-j70,meks,Anzu,ZU-J70,Anzu,Anzu ZU-J70.mtf,meks/3145/Marik/Anzu ZU-J70.mtf,60,Heavy,,,Inner Sphere,Standard,3106,Republic,Skirmisher
meks-meks-3055u-apollo-apl-1m,meks,Apollo,APL-1M,Apollo,Apollo APL-1M.mtf,meks/3055U/Apollo APL-1M.mtf,55,Medium,,,Inner Sphere,Standard,3054,Clan Invasion,Missile Boat
meks-meks-3055u-apollo-apl-1r,meks,Apollo,APL-1R,Apollo,Apollo APL-1R.mtf,meks/3055U/Apollo APL-1R.mtf,55,Medium,,,Inner Sphere,Standard,3056,Clan Invasion,Missile Boat
meks-meks-3055u-apollo-apl-2s,meks,Apollo,APL-2S,Apollo,Apollo APL-2S.mtf,meks/3055U/Apollo APL-2S.mtf,55,Medium,,,Inner Sphere,Standard,3056,Clan Invasion,Missile Boat
meks-meks-3055u-apollo-apl-3t,meks,Apollo,APL-3T,Apollo,Apollo APL-3T.mtf,meks/3055U/Apollo APL-3T.mtf,55,Medium,,,Inner Sphere,Standard,3057,Clan Invasion,Missile Boat
meks-meks-prototypes-apollo-apl-4m,meks,Apollo,APL-4M,Apollo,Apollo APL-4M.mtf,meks/ProtoTypes/Apollo APL-4M.mtf,55,Medium,,,Inner Sphere,Experimental,3083,Republic,Missile Boat
meks-meks-3055u-aquagladius-aqs-3,meks,Aquagladius,AQS-3,Aquagladius,Aquagladius AQS-3.mtf,meks/3055U/Aquagladius AQS-3.mtf,50,Medium,,,Inner Sphere,Experimental,3065,Civil War,Striker
meks-meks-3055u-aquagladius-aqs-4,meks,Aquagladius,AQS-4,Aquagladius,Aquagladius AQS-4.mtf,meks/3055U/Aquagladius AQS-4.mtf,50,Medium,,,Inner Sphere,Experimental,3066,Civil War,Striker
meks-meks-xtrs-caveat-emptor-aquagladius-aqs-5-mam,meks,Aquagladius,AQS-5 MAM,Aquagladius,Aquagladius AQS-5 MAM.mtf,meks/XTRs/Caveat Emptor/Aquagladius AQS-5 MAM.mtf,50,Medium,,,Inner Sphere,Experimental,3090,Republic,Skirmisher
meks-meks-isp3-arana-militiamech-ara-s-1,meks,Araña,ARA-S-1 MilitiaMech,Araña,Arana MilitiaMech ARA-S-1.mtf,meks/ISP3/Arana MilitiaMech ARA-S-1.mtf,40,Medium,,,Clan,Advanced,3087,Republic,
meks-meks-3085u-cutting-edge-arbalest-2,meks,Arbalest,2,Arbalest,Arbalest 2.mtf,meks/3085u/Cutting Edge/Arbalest 2.mtf,25,Light,,,Clan,Standard,3079,Jihad,Missile Boat
meks-meks-3085u-cutting-edge-arbalest-3,meks,Arbalest,3,Arbalest,Arbalest 3.mtf,meks/3085u/Cutting Edge/Arbalest 3.mtf,25,Light,,,Clan,Standard,3081,Republic,Brawler
meks-meks-xtrs-corporations-arbiter-arb-001,meks,Arbiter,ARB-001 SecurityMech,Arbiter,Arbiter ARB-001.mtf,meks/XTRs/Corporations/Arbiter ARB-001.mtf,35,Light,,,Inner Sphere,Experimental,3074,Jihad,
meks-meks-3067-arcas-2,meks,Arcas,2,Arcas,Arcas 2.mtf,meks/3067/Arcas 2.mtf,65,Heavy,,,Clan,Standard,3061,Clan Invasion,Skirmisher
meks-meks-3067-unabridged-clan-meks-arcas-3,meks,Arcas,3,Arcas,Arcas 3.mtf,meks/3067 Unabridged/Clan Meks/Arcas 3.mtf,65,Heavy,,,Clan,Standard,3078,Jihad,Skirmisher
meks-meks-wolf-and-blake-archangel-c-ang-o-berith,meks,Archangel,C-ANG-O (Berith),Archangel,Archangel C-ANG-O Berith.mtf,meks/Wolf and Blake/Archangel C-ANG-O Berith.mtf,100,Assault,,,Inner Sphere,Experimental,3072,Jihad,Juggernaut
meks-meks-3075-archangel-c-ang-o-invictus,meks,Archangel,C-ANG-O Invictus,Archangel,Archangel C-ANG-O Invictus.mtf,meks/3075/Archangel C-ANG-O Invictus.mtf,100,Assault,,,Inner Sphere,Standard,3069,Jihad,Sniper
meks-meks-3075-archangel-c-ang-oa-dominus,meks,Archangel,C-ANG-OA Dominus,Archangel,Archangel C-ANG-OA Dominus.mtf,meks/3075/Archangel C-ANG-OA Dominus.mtf,100,Assault,,,Inner Sphere,Standard,3069,Jihad,Juggernaut
meks-meks-3075-archangel-c-ang-ob-infernus,meks,Archangel,C-ANG-OB Infernus,Archangel,Archangel C-ANG-OB Infernus.mtf,meks/3075/Archangel C-ANG-OB Infernus.mtf,100,Assault,,,Inner Sphere,Standard,3069,Jihad,Sniper
meks-meks-3075-archangel-c-ang-oc-comminus,meks,Archangel,C-ANG-OC Comminus,Archangel,Archangel C-ANG-OC Comminus.mtf,meks/3075/Archangel C-ANG-OC Comminus.mtf,100,Assault,,,Inner Sphere,Standard,3069,Jihad,Juggernaut
meks-meks-3075-archangel-c-ang-od-luminos,meks,Archangel,C-ANG-OD Luminos,Archangel,Archangel C-ANG-OD Luminos.mtf,meks/3075/Archangel C-ANG-OD Luminos.mtf,100,Assault,,,Inner Sphere,Standard,3069,Jihad,Juggernaut
meks-meks-3075-archangel-c-ang-oe-eminus,meks,Archangel,C-ANG-OE Eminus,Archangel,Archangel C-ANG-OE Eminus.mtf,meks/3075/Archangel C-ANG-OE Eminus.mtf,100,Assault,,,Inner Sphere,Standard,3072,Jihad,Sniper
meks-meks-jihad-secrets-archangel-c-ang-os-caelestis,meks,Archangel,C-ANG-OS Caelestis,Archangel,Archangel C-ANG-OS Caelestis.mtf,meks/Jihad Secrets/Archangel C-ANG-OS Caelestis.mtf,100,Assault,,,Mixed,Experimental,3075,Jihad,Juggernaut
meks-meks-rec-guides-ilclan-vol-10-archer-wolf,meks,Archer,(Wolf),Archer,Archer (Wolf).mtf,meks/Rec Guides ilClan/Vol 10/Archer (Wolf).mtf,70,Heavy,,,Clan,Standard,3055,Clan Invasion,Missile Boat
meks-meks-xtrs-primitives-v-archer-arc-1a,meks,Archer,ARC-1A,Archer,Archer ARC-1A.mtf,meks/XTRs/Primitives V/Archer ARC-1A.mtf,70,Heavy,,,Inner Sphere,Experimental,2458,Star League,Missile Boat
meks-meks-3039u-archer-arc-2k,meks,Archer,ARC-2K,Archer,Archer ARC-2K.mtf,meks/3039u/Archer ARC-2K.mtf,70,Heavy,,,Inner Sphere,Introductory,2856,Succession Wars,Missile Boat
meks-meks-3039u-archer-arc-2r,meks,Archer,ARC-2R,Archer,Archer ARC-2R.mtf,meks/3039u/Archer ARC-2R.mtf,70,Heavy,,,Inner Sphere,Introductory,2474,Star League,Missile Boat
meks-meks-rec-guides-ilclan-vol-10-archer-arc-2rb,meks,Archer,ARC-2Rb,Archer,Archer ARC-2Rb.mtf,meks/Rec Guides ilClan/Vol 10/Archer ARC-2Rb.mtf,70,Heavy,,,Inner Sphere,Standard,2752,Star League,Missile Boat
meks-meks-3039u-archer-arc-2s,meks,Archer,ARC-2S,Archer,Archer ARC-2S.mtf,meks/3039u/Archer ARC-2S.mtf,70,Heavy,,,Inner Sphere,Introductory,2915,Succession Wars,Missile Boat
meks-meks-3039u-archer-arc-2w,meks,Archer,ARC-2W,Archer,Archer ARC-2W.mtf,meks/3039u/Archer ARC-2W.mtf,70,Heavy,,,Inner Sphere,Introductory,3010,Succession Wars,Missile Boat
meks-meks-rec-guides-ilclan-vol-10-archer-arc-4m,meks,Archer,ARC-4M,Archer,Archer ARC-4M.mtf,meks/Rec Guides ilClan/Vol 10/Archer ARC-4M.mtf,70,Heavy,,,Inner Sphere,Standard,3049,Succession Wars,Missile Boat
meks-meks-force-manuals-mercs-archer-arc-4m-ismail,meks,Archer,ARC-4M (Ismail),Archer,Archer ARC-4M (Ismail).mtf,meks/Force Manuals/Mercs/Archer ARC-4M (Ismail).mtf,70,Heavy,,,Inner Sphere,Standard,3050,Clan Invasion,Juggernaut
meks-meks-rec-guides-ilclan-vol-10-archer-arc-4m2,meks,Archer,ARC-4M2,Archer,Archer ARC-4M2.mtf,meks/Rec Guides ilClan/Vol 10/Archer ARC-4M2.mtf,70,Heavy,,,Inner Sphere,Standard,3086,Republic,Missile Boat
meks-meks-tukayyid-archer-arc-5cs,meks,Archer,ARC-5CS,Archer,Archer ARC-5CS.mtf,meks/Tukayyid/Archer ARC-5CS.mtf,70,Heavy,,,Inner Sphere,Standard,3052,Clan Invasion,Missile Boat
meks-meks-rec-guides-ilclan-vol-10-archer-arc-5r,meks,Archer,ARC-5R,Archer,Archer ARC-5R.mtf,meks/Rec Guides ilClan/Vol 10/Archer ARC-5R.mtf,70,Heavy,,,Inner Sphere,Standard,3050,Clan Invasion,Missile Boat
meks-meks-rec-guides-ilclan-vol-10-archer-arc-5s,meks,Archer,ARC-5S,Archer,Archer ARC-5S.mtf,meks/Rec Guides ilClan/Vol 10/Archer ARC-5S.mtf,70,Heavy,,,Inner Sphere,Standard,3050,Clan Invasion,Missile Boat
meks-meks-rec-guides-ilclan-vol-10-archer-arc-5w,meks,Archer,ARC-5W,Archer,Archer ARC-5W.mtf,meks/Rec Guides ilClan/Vol 10/Archer ARC-5W.mtf,70,Heavy,,,Inner Sphere,Standard,3050,Clan Invasion,Missile Boat
meks-meks-3085u-phoenix-archer-arc-6s,meks,Archer,ARC-6S,Archer,Archer ARC-6S.mtf,meks/3085u/Phoenix/Archer ARC-6S.mtf,70,Heavy,,,Inner Sphere,Standard,3067,Civil War,Missile Boat
meks-meks-3085u-phoenix-archer-arc-6w,meks,Archer,ARC-6W,Archer,Archer ARC-6W.mtf,meks/3085u/Phoenix/Archer ARC-6W.mtf,70,Heavy,,,Inner Sphere,Standard,3067,Civil War,Brawler
meks-meks-rec-guides-ilclan-vol-10-archer-arc-7c,meks,Archer,ARC-7C,Archer,Archer ARC-7C.mtf,meks/Rec Guides ilClan/Vol 10/Archer ARC-7C.mtf,70,Heavy,,,Mixed,Standard,3119,Republic,Missile Boat
meks-meks-3085u-phoenix-archer-arc-7l,meks,Archer,ARC-7L,Archer,Archer ARC-7L.mtf,meks/3085u/Phoenix/Archer ARC-7L.mtf,70,Heavy,,,Inner Sphere,Standard,3067,Civil War,Missile Boat
meks-meks-3085u-phoenix-archer-arc-7s,meks,Archer,ARC-7S,Archer,Archer ARC-7S.mtf,meks/3085u/Phoenix/Archer ARC-7S.mtf,70,Heavy,,,Inner Sphere,Standard,3070,Jihad,Missile Boat
meks-meks-3085u-phoenix-archer-arc-8m,meks,Archer,ARC-8M,Archer,Archer ARC-8M.mtf,meks/3085u/Phoenix/Archer ARC-8M.mtf,70,Heavy,,,Inner Sphere,Standard,3067,Civil War,Missile Boat
meks-meks-3085u-phoenix-archer-arc-9k,meks,Archer,ARC-9K,Archer,Archer ARC-9K.mtf,meks/3085u/Phoenix/Archer ARC-9K.mtf,70,Heavy,,,Inner Sphere,Standard,3071,Jihad,Sniper
meks-meks-3145-ntnu-rs-archer-arc-9kc,meks,Archer,ARC-9KC,Archer,Archer ARC-9KC.mtf,meks/3145/NTNU RS/Archer ARC-9KC.mtf,70,Heavy,,,Inner Sphere,Advanced,3089,Republic,Sniper
meks-meks-3085u-phoenix-archer-arc-9m,meks,Archer,ARC-9M,Archer,Archer ARC-9M.mtf,meks/3085u/Phoenix/Archer ARC-9M.mtf,70,Heavy,,,Inner Sphere,Standard,3076,Jihad,Missile Boat
meks-meks-rec-guides-ilclan-vol-10-archer-arc-9r,meks,Archer,ARC-9R,Archer,Archer ARC-9R.mtf,meks/Rec Guides ilClan/Vol 10/Archer ARC-9R.mtf,70,Heavy,,,Inner Sphere,Standard,3134,Dark Age,Missile Boat
meks-meks-3085u-phoenix-archer-arc-9w,meks,Archer,ARC-9W,Archer,Archer ARC-9W.mtf,meks/3085u/Phoenix/Archer ARC-9W.mtf,70,Heavy,,,Inner Sphere,Experimental,3078,Jihad,Missile Boat
meks-meks-rec-guides-ilclan-vol-10-archer-c,meks,Archer,C,Archer,Archer C.mtf,meks/Rec Guides ilClan/Vol 10/Archer C.mtf,70,Heavy,,,Mixed,Advanced,2824,Succession Wars,Missile Boat
meks-meks-force-packs-wolfs-dragoons-archer-c-2,meks,Archer,C 2,Archer,Archer C 2.mtf,meks/Force Packs/Wolfs Dragoons/Archer C 2.mtf,70,Heavy,,,Clan,Standard,3065,Civil War,Brawler
meks-meks-3060u-arctic-fox-af1,meks,Arctic Fox,AF1,Arctic Fox,Arctic Fox AF1.mtf,meks/3060u/Arctic Fox AF1.mtf,30,Light,,,Inner Sphere,Standard,3059,Clan Invasion,Striker
meks-meks-3060u-arctic-fox-af1a,meks,Arctic Fox,AF1A,Arctic Fox,Arctic Fox AF1A.mtf,meks/3060u/Arctic Fox AF1A.mtf,30,Light,,,Inner Sphere,Standard,3059,Clan Invasion,Striker
