id,unitType,chassis,model,name,fileName,relativePath,mulId,tonnage,weightClass,bv,bvSource,costCBills,costSource,techBase,rulesLevel,year,era,role,source,walkMP,runMP,jumpMP,engineRating,engineType,gyroType,cockpitType,heatSinkCount,heatSinkType,armorType,structureType,armorPoints,armorTonnage,weaponCount,weaponSummary,warnings
meks-meks-3067-unabridged-is-meks-akuma-aku-2xk,meks,Akuma,AKU-2XK,Akuma AKU-2XK,Akuma AKU-2XK.mtf,meks/3067 Unabridged/IS Meks/Akuma AKU-2XK.mtf,5714,90,Assault,2347,calculated,11375680,calculated,Inner Sphere,Standard,3083,Republic,Juggernaut,RS:3067u,3,5,,270,Standard Fusion,Compact Gyro,Standard,11,Double,Standard Armor,Endo-Steel,279,17.44,9,C3 Computer (Slave); Guardian ECM Suite; 2x Medium Pulse Laser; ER Medium Laser; Heavy PPC; 2x MML 9; Rotary AC/5,
meks-meks-3055u-albatross-alb-3u,meks,Albatross,ALB-3U,Albatross ALB-3U,Albatross ALB-3U.mtf,meks/3055U/Albatross ALB-3U.mtf,27,95,Assault,1668,calculated,25376650,calculated,Inner Sphere,Standard,3053,Clan Invasion,Brawler,TR:3055U,4,6,,380,XL Fusion,Standard,Standard,14,Double,Standard(Inner Sphere),IS Standard,208,13,7,LB 10-X AC; Large Pulse Laser; 2x Medium Laser; ER Large Laser; LRM 15; SRM 6,
meks-meks-3085u-onn-albatross-alb-3ur,meks,Albatross,ALB-3Ur,Albatross ALB-3Ur,Albatross ALB-3Ur.mtf,meks/3085u/ONN/Albatross ALB-3Ur.mtf,28,95,Assault,1902,calculated,25171900,calculated,Inner Sphere,Standard,3076,Jihad,Brawler,TR:3085,4,6,,380,XL Fusion,Standard,Standard,14,Double,Standard(Inner Sphere),Standard,208,13,6,Snub-Nose PPC; 2x Medium Laser; ER Large Laser; MML 9; Gauss Rifle,
meks-meks-3055u-albatross-alb-4u,meks,Albatross,ALB-4U,Albatross ALB-4U,Albatross ALB-4U.mtf,meks/3055U/Albatross ALB-4U.mtf,29,95,Assault,1907,calculated,25291338,calculated,Inner Sphere,Standard,3063,Civil War,Brawler,TR:3055U,4,6,,380,XL Fusion,Standard,Standard,14,Double,Ferro-Fibrous(Inner Sphere),Standard,293,16.35,7,Light Gauss Rifle; Large Pulse Laser; 2x ER Medium Laser; ER Small Laser; LRM 15; Streak SRM 6,
meks-meks-shrapnel-vol-13-albatross-alb-4ur,meks,Albatross,ALB-4Ur,Albatross ALB-4Ur,Albatross ALB-4Ur.mtf,meks/Shrapnel/Vol 13/Albatross ALB-4Ur.mtf,9510,95,Assault,1893,calculated,25715950,calculated,Inner Sphere,Standard,3103,Republic,,Shrap13,4,6,,380,XL Fusion,Standard,Standard,13,Double,Ferro-Fibrous(Inner Sphere),IS Standard,293,16.35,7,Large Pulse Laser; 2x ER Medium Laser; Light PPC; LB 10-X AC; LRM 15; SRM 6,
meks-meks-shrapnel-vol-13-albatross-alb-5u,meks,Albatross,ALB-5U,Albatross ALB-5U,Albatross ALB-5U.mtf,meks/Shrapnel/Vol 13/Albatross ALB-5U.mtf,9511,95,Assault,1894,calculated,25763888,calculated,Inner Sphere,Standard,3091,Republic,,Shrap13,4,6,,380,Light Fusion,Heavy Duty Gyro,Standard Cockpit,13,Double,Heavy Ferro-Fibrous(Inner Sphere),IS Standard,293,14.77,6,Rotary AC/2; Large X-Pulse Laser; ER Small Laser; 2x ER Medium Laser; MML 7,
meks-meks-shrapnel-vol-13-albatross-alb-5w,meks,Albatross,ALB-5W,Albatross ALB-5W,Albatross ALB-5W.mtf,meks/Shrapnel/Vol 13/Albatross ALB-5W.mtf,9509,95,Assault,1940,calculated,29315325,calculated,Inner Sphere,Advanced,3070,Jihad,,Shrap13,4,6,,380,Light Fusion,Heavy Duty Gyro,Standard Cockpit,13,Double,Heavy Ferro-Fibrous(Inner Sphere),IS Standard,293,14.77,8,ER PPC; Large VSP Pulse Laser; 2x Medium Pulse Laser; 2x ER Medium Laser; 2x ER Small Laser,
meks-meks-turning-points-jtp-atreus-albatross-alb-5w-dantalion,meks,Albatross,ALB-5W (Dantalion),Albatross ALB-5W (Dantalion),Albatross ALB-5W Dantalion.mtf,meks/Turning Points/JTP Atreus/Albatross ALB-5W Dantalion.mtf,30,95,Assault,2019,calculated,29683388,calculated,Inner Sphere,Advanced,3073,Jihad,Brawler,JTP:Atreus,4,6,,380,Light Fusion,Heavy Duty Gyro,Small Cockpit,13,Double,Heavy Ferro-Fibrous,Standard,293,14.77,9,2x ER Medium Laser; ER Small Laser; 2x Medium Pulse Laser; Large VSP Pulse Laser; ER PPC; Laser AMS; Guardian ECM Suite,
meks-meks-shrapnel-vol-13-albatross-alb-6u,meks,Albatross,ALB-6U,Albatross ALB-6U,Albatross ALB-6U.mtf,meks/Shrapnel/Vol 13/Albatross ALB-6U.mtf,9507,95,Assault,2165,calculated,26915200,calculated,Inner Sphere,Standard,3118,Republic,,Shrap13,4,6,,380,XL Fusion,XL Gyro,Standard Cockpit,13,Double,Ferro-Fibrous(Inner Sphere),IS Composite,293,16.35,7,Gauss Rifle; Large VSP Pulse Laser; 2x ER Medium Laser; Light PPC; LRM 15; SRM 6,
meks-meks-shrapnel-vol-13-albatross-c-sooty-albatross,meks,Albatross,C 'Sooty Albatross',Albatross C 'Sooty Albatross',Albatross C 'Sooty Albatross'.mtf,meks/Shrapnel/Vol 13/Albatross C 'Sooty Albatross'.mtf,9508,95,Assault,2986,calculated,27677650,calculated,Mixed,Standard,3148,Dark Age,,Shrap13,4,6,4,380,XL Fusion,XL Gyro,Standard Cockpit,15,Double,Ferro-Fibrous(Inner Sphere),IS Composite,293,16.35,6,Large ER Pulse Laser; 2x ER Medium Laser; Plasma Cannon; Gauss Rifle; ATM 9,
meks-meks-historicals-hist-reunification-war-alfar-al-a1,meks,Alfar,AL-A1,Alfar AL-A1,Alfar AL-A1.mtf,meks/Historicals/Hist Reunification War/Alfar AL-A1.mtf,3694,55,Medium,1447,calculated,5020657,calculated,Inner Sphere,Standard,2573,Star League,Skirmisher,His:RW,5,8,3,275,Standard Fusion,Standard,Standard,15,Single,Ferro-Fibrous(Inner Sphere),Endo Steel,179,9.99,5,PPC; 3x Medium Laser; SRM 6,
meks-meks-rec-guides-ilclan-vol-24-alpha-wolf-a,meks,Alpha Wolf,A,Alpha Wolf A,Alpha Wolf A.mtf,meks/Rec Guides ilClan/Vol 24/Alpha Wolf A.mtf,8441,90,Assault,3278,calculated,39543750,calculated,Clan,Standard,3150,Dark Age,Brawler,RG24,4,8,,360,XL Fusion,Standard,Standard,20,Double,Stealth(Inner Sphere),Clan Endo-Composite,279,17.44,8,2x ER PPC; 2x Streak SRM 6; 4x Medium Pulse Laser,
meks-meks-rec-guides-ilclan-vol-24-alpha-wolf-b,meks,Alpha Wolf,B,Alpha Wolf B,Alpha Wolf B.mtf,meks/Rec Guides ilClan/Vol 24/Alpha Wolf B.mtf,8442,90,Assault,2659,calculated,31720500,calculated,Clan,Standard,3150,Dark Age,Brawler,RG24,4,6,,360,XL Fusion,Standard,Standard,16,Double,Stealth(Inner Sphere),Clan Endo-Composite,279,17.44,5,2x Large Pulse Laser; Gauss Rifle; 2x SRM 6,
meks-meks-rec-guides-ilclan-vol-24-alpha-wolf-c,meks,Alpha Wolf,C,Alpha Wolf C,Alpha Wolf C.mtf,meks/Rec Guides ilClan/Vol 24/Alpha Wolf C.mtf,8443,90,Assault,2532,calculated,30913000,calculated,Clan,Standard,3150,Dark Age,Sniper,RG24,4,6,,360,XL Fusion,Standard,Standard,21,Double,Stealth(Inner Sphere),Clan Endo-Composite,279,17.44,7,2x ER Large Laser; 3x ER Medium Laser; 2x Extended LRM 10,
meks-meks-rec-guides-ilclan-vol-24-alpha-wolf-prime,meks,Alpha Wolf,Prime,Alpha Wolf Prime,Alpha Wolf Prime.mtf,meks/Rec Guides ilClan/Vol 24/Alpha Wolf Prime.mtf,8440,90,Assault,2666,calculated,30480750,calculated,Clan,Standard,3150,Dark Age,Sniper,RG24,4,6,,360,XL Fusion,Standard,Standard,14,Double,Stealth(Inner Sphere),Clan Endo-Composite,279,17.44,4,2x Rotary AC/5; 2x LRM 15,
meks-meks-rec-guides-ilclan-vol-17-amarok-2,meks,Amarok,2,Amarok 2,Amarok 2.mtf,meks/Rec Guides ilClan/Vol 17/Amarok 2.mtf,8240,100,Assault,2645,calculated,40857333,calculated,Clan,Advanced,3150,Dark Age,Brawler,RG17,4,8,,400,XL Fusion,Standard,Standard,16,Double,Hardened(Clan),Clan Endo Steel,164,10.25,8,3x ER Medium Laser; 2x AP Gauss Rifle; Streak LRM 20; Improved Heavy Large Laser; Large Pulse Laser,
meks-meks-rec-guides-ilclan-vol-17-amarok-3,meks,Amarok,3,Amarok 3,Amarok 3.mtf,meks/Rec Guides ilClan/Vol 17/Amarok 3.mtf,8241,100,Assault,2030,calculated,28529333,calculated,Clan,Advanced,3150,Dark Age,Juggernaut,RG17,4,6,,400,XL Fusion,Standard,Standard,10,Double,Hardened(Clan),Clan Endo Steel,240,15,9,7x Small Pulse Laser; Hyper-Assault Gauss 20; LRM 20,
meks-meks-3050u-annihilator-anh-1a,meks,Annihilator,ANH-1A,Annihilator ANH-1A,Annihilator ANH-1A.mtf,meks/3050U/Annihilator ANH-1A.mtf,3700,100,Assault,1434,calculated,7648667,calculated,Inner Sphere,Introductory,3009,Succession Wars,Juggernaut,TR:3050,2,3,,200,Standard Fusion,Standard,Standard,18,Single,Standard Armor,Standard,200,12.5,8,4x Autocannon/10; 4x Medium Laser,
meks-meks-turning-points-htp-death-to-mercenaries-annihilator-anh-1e,meks,Annihilator,ANH-1E,Annihilator ANH-1E,Annihilator ANH-1E.mtf,meks/Turning Points/HTP Death to Mercenaries/Annihilator ANH-1E.mtf,36,100,Assault,1625,calculated,7760667,calculated,Inner Sphere,Introductory,3028,Succession Wars,Juggernaut,OTP:DTM,2,3,,200,Standard Fusion,Standard,Standard,41,Single,Standard(Inner Sphere),Standard,216,13.5,8,4x PPC; 4x Medium Laser,
meks-meks-operation-klondike-annihilator-anh-1g,meks,Annihilator,ANH-1G,Annihilator ANH-1G,Annihilator ANH-1G.mtf,meks/Operation Klondike/Annihilator ANH-1G.mtf,37,100,Assault,2273,calculated,8336667,calculated,Inner Sphere,Standard,2823,Succession Wars,Juggernaut,His:OK,2,3,,200,Standard Fusion,Standard,Standard,10,Double,Standard Armor,Standard,296,18.5,4,ER PPC; 3x Gauss Rifle,
meks-meks-operation-klondike-annihilator-anh-1x,meks,Annihilator,ANH-1X,Annihilator ANH-1X,Annihilator ANH-1X.mtf,meks/Operation Klondike/Annihilator ANH-1X.mtf,38,100,Assault,1926,calculated,9753167,calculated,Inner Sphere,Standard,2779,Star League,Juggernaut,His:OK,2,3,,200,Standard Fusion,Standard,Standard,10,Double,Standard Armor,Standard,304,19,11,4x LB 10-X AC; 4x Medium Laser; Small Laser; 2x Small Pulse Laser,
meks-meks-3050u-annihilator-anh-2a,meks,Annihilator,ANH-2A,Annihilator ANH-2A,Annihilator ANH-2A.mtf,meks/3050U/Annihilator ANH-2A.mtf,39,100,Assault,1595,calculated,9604667,calculated,Inner Sphere,Standard,3048,Succession Wars,Juggernaut,TR:3050,2,3,,200,Standard Fusion,Standard,Standard,17,Single,Standard(Inner Sphere),IS Standard,200,12.5,8,4x LB 10-X AC; 4x Medium Pulse Laser,
meks-meks-3050u-annihilator-anh-3a,meks,Annihilator,ANH-3A,Annihilator ANH-3A,Annihilator ANH-3A.mtf,meks/3050U/Annihilator ANH-3A.mtf,41,100,Assault,1712,calculated,12532333,calculated,Inner Sphere,Standard,3068,Jihad,Juggernaut,TR:3050,2,3,,200,Compact Fusion,Compact Gyro,Standard,12,Double,Light Ferro-Fibrous(Inner Sphere),Standard,307,18.1,12,4x ER Medium Laser; 8x Light AC/2,
meks-meks-3050u-annihilator-anh-4a,meks,Annihilator,ANH-4A,Annihilator ANH-4A,Annihilator ANH-4A.mtf,meks/3050U/Annihilator ANH-4A.mtf,42,100,Assault,1726,calculated,10096667,calculated,Inner Sphere,Standard,3069,Jihad,Sniper,TR:3050,2,3,,200,Standard Fusion,Compact Gyro,Standard,15,Double,Standard,Standard,232,14.5,6,2x Heavy PPC; 2x LB 10-X AC; 2x Light AC/2,
meks-meks-rec-guides-ilclan-vol-24-annihilator-anh-5w,meks,Annihilator,ANH-5W,Annihilator ANH-5W,Annihilator ANH-5W.mtf,meks/Rec Guides ilClan/Vol 24/Annihilator ANH-5W.mtf,8386,100,Assault,2595,calculated,11576667,calculated,Mixed,Standard,3134,Dark Age,Sniper,RG24,2,3,,200,Standard Fusion,Compact Gyro,Standard Cockpit,10,Double,Standard(Inner Sphere),Clan Endo Steel,232,14.5,8,4x Gauss Rifle; 4x Medium Pulse Laser,
meks-meks-3050u-annihilator-c,meks,Annihilator,C,Annihilator C,Annihilator C.mtf,meks/3050U/Annihilator C.mtf,43,100,Assault,2682,calculated,11484000,calculated,Clan,Standard,2848,Succession Wars,Sniper,TR:3050,3,5,,300,Standard Fusion,Standard,Standard,12,Double,Standard Armor,Endo Steel,256,16,8,4x Ultra AC/10; 4x ER Medium Laser,
meks-meks-operation-klondike-annihilator-bryan-gausszilla,meks,Annihilator,C 'Gausszilla',Annihilator C 'Gausszilla',Annihilator Bryan Gausszilla.mtf,meks/Operation Klondike/Annihilator Bryan Gausszilla.mtf,44,100,Assault,2454,calculated,9556667,calculated,Clan,Standard,2844,Succession Wars,Juggernaut,His:OK,2,3,,200,Standard Fusion,Standard,Standard,10,Double,Standard Armor,Endo-Steel,216,13.5,5,5x Gauss Rifle,
meks-meks-operation-klondike-annihilator-c2,meks,Annihilator,C 2,Annihilator C 2,Annihilator C2.mtf,meks/Operation Klondike/Annihilator C2.mtf,45,100,Assault,2720,calculated,9641167,calculated,Clan,Standard,2850,Succession Wars,Sniper,His:OK,2,3,,200,Standard Fusion,Standard,Standard,11,Double,Standard Armor,Endo-Steel,256,16,6,4x Gauss Rifle; ER PPC; ER Small Laser,
meks-meks-3067-anubis-abs-3l,meks,Anubis,ABS-3L,Anubis ABS-3L,Anubis ABS-3L.mtf,meks/3067/Anubis ABS-3L.mtf,3702,30,Light,1066,calculated,5114525,calculated,Inner Sphere,Standard,3063,Civil War,Missile Boat,TR:3067,8,12,,240,XL Fusion,Standard,Standard,10,Double,Stealth Armor,Endo Steel,88,5.5,6,ER Small Laser; 4x LRM 5; Guardian ECM Suite,
meks-meks-3067-anubis-abs-3r,meks,Anubis,ABS-3R,Anubis ABS-3R,Anubis ABS-3R.mtf,meks/3067/Anubis ABS-3R.mtf,3703,30,Light,1069,calculated,5231525,calculated,Inner Sphere,Standard,3064,Civil War,Missile Boat,TR:3067,8,12,,240,XL Fusion,Standard,Standard,10,Double,Stealth Armor,Endo Steel,105,6.56,7,ER Small Laser; Rocket Launcher 10; 2x LRM 5; 2x Rocket Launcher 15; Guardian ECM Suite,
meks-meks-3067-anubis-abs-3t,meks,Anubis,ABS-3T,Anubis ABS-3T,Anubis ABS-3T.mtf,meks/3067/Anubis ABS-3T.mtf,3704,30,Light,1265,calculated,5440175,calculated,Inner Sphere,Standard,3067,Civil War,Striker,TR:3067,8,12,,240,XL Fusion,Standard,Standard,12,Double,Stealth Armor,Endo Steel,88,5.5,5,ER Large Laser; 2x ER Medium Laser; ER Small Laser; Guardian ECM Suite,
meks-meks-3067-unabridged-is-meks-anubis-abs-4c,meks,Anubis,ABS-4C,Anubis ABS-4C,Anubis ABS-4C.mtf,meks/3067 Unabridged/IS Meks/Anubis ABS-4C.mtf,5656,30,Light,1045,calculated,5525650,calculated,Inner Sphere,Standard,3082,Republic,Missile Boat,RS:3067u,8,12,,240,XL Fusion,Standard,Standard,10,Double,Stealth Armor,Endo-Steel,96,6,5,2x ER Small Laser; Guardian ECM Suite; 2x MML 5,
meks-meks-3145-liao-anubis-abs-5y,meks,Anubis,ABS-5Y,Anubis ABS-5Y,Anubis ABS-5Y.mtf,meks/3145/Liao/Anubis ABS-5Y.mtf,6453,30,Light,1042,calculated,5099900,calculated,Inner Sphere,Standard,3121,Republic,Missile Boat,TR:3145:CC,7,11,,210,XL Fusion,Standard,Standard,10,Double,Stealth(Inner Sphere),IS Endo-Steel,88,5.5,4,2x Light PPC; 2x LRM 5,
meks-meks-3145-liao-anubis-abs-5z,meks,Anubis,ABS-5Z,Anubis ABS-5Z,Anubis ABS-5Z.mtf,meks/3145/Liao/Anubis ABS-5Z.mtf,6454,30,Light,1066,calculated,5203900,calculated,Inner Sphere,Standard,3124,Republic,Striker,TR:3145:CC,7,11,,210,XL Fusion,Standard,Standard,10,Double,Stealth(Inner Sphere),IS Endo-Steel,104,6.5,5,2x ER Medium Laser; 2x Streak SRM 4; TAG,
meks-meks-3055u-anvil-anv-3m,meks,Anvil,ANV-3M,Anvil ANV-3M,Anvil ANV-3M.mtf,meks/3055U/Anvil ANV-3M.mtf,48,60,Heavy,1441,calculated,5856960,calculated,Inner Sphere,Standard,3055,Clan Invasion,Skirmisher,TR:3055U,5,8,3,300,Standard Fusion,Standard,Standard,12,Double,Standard(Inner Sphere),IS Endo Steel,152,9.5,4,2x Large Pulse Laser; 2x Medium Laser,
meks-meks-3055u-anvil-anv-3r,meks,Anvil,ANV-3R,Anvil ANV-3R,Anvil ANV-3R.mtf,meks/3055U/Anvil ANV-3R.mtf,49,60,Heavy,1496,calculated,5732160,calculated,Inner Sphere,Standard,3067,Civil War,Skirmisher,TR:3055U,5,8,,300,Standard Fusion,Standard,Standard,12,Double,Standard(Inner Sphere),Endo Steel,200,12.5,4,2x Large Pulse Laser; 2x Medium Laser,
meks-meks-3055u-anvil-anv-5m,meks,Anvil,ANV-5M,Anvil ANV-5M,Anvil ANV-5M.mtf,meks/3055U/Anvil ANV-5M.mtf,50,60,Heavy,1687,calculated,6372160,calculated,Inner Sphere,Standard,3057,Clan Invasion,Skirmisher,TR:3055U,5,8,5,300,Standard Fusion,Standard,Standard,12,Double,Standard(Inner Sphere),Endo Steel,152,9.5,6,2x ER Large Laser; 4x Medium Laser,
meks-meks-3055u-anvil-anv-5q,meks,Anvil,ANV-5Q,Anvil ANV-5Q,Anvil ANV-5Q.mtf,meks/3055U/Anvil ANV-5Q.mtf,51,60,Heavy,1336,calculated,5548160,calculated,Inner Sphere,Standard,3067,Civil War,Skirmisher,TR:3055U,5,8,3,300,Standard Fusion,Standard,Standard,14,Double,Standard(Inner Sphere),Endo Steel,144,9,4,2x Large Pulse Laser; 2x Medium Laser,
meks-meks-3055u-anvil-anv-6m,meks,Anvil,ANV-6M,Anvil ANV-6M,Anvil ANV-6M.mtf,meks/3055U/Anvil ANV-6M.mtf,52,60,Heavy,1366,calculated,5872960,calculated,Inner Sphere,Standard,3058,Clan Invasion,Skirmisher,TR:3055U,5,8,3,300,Standard Fusion,Standard,Standard,12,Double,Standard(Inner Sphere),Endo Steel,152,9.5,4,2x Large Pulse Laser; Medium Laser; TAG,
meks-meks-3055u-anvil-anv-8m,meks,Anvil,ANV-8M,Anvil ANV-8M,Anvil ANV-8M.mtf,meks/3055U/Anvil ANV-8M.mtf,53,60,Heavy,1616,calculated,7108480,calculated,Inner Sphere,Advanced,3060,Clan Invasion,Missile Boat,TR:3055U,4,8,,240,Standard Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),Endo Steel,152,9.5,4,ER Large Laser; 2x ER Medium Laser; Arrow IV,
meks-meks-3145-marik-anzu-zu-g60,meks,Anzu,ZU-G60,Anzu ZU-G60,Anzu ZU-G60.mtf,meks/3145/Marik/Anzu ZU-G60.mtf,6510,60,Heavy,1399,calculated,10596800,calculated,Inner Sphere,Standard,3098,Republic,Sniper,TR:3145:FWL,4,6,4,240,XL Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),IS Endo Steel,176,11,5,Light PPC; ER Medium Laser; Ultra AC/10; LRM 10; TAG,
meks-meks-3145-marik-anzu-zu-j70,meks,Anzu,ZU-J70,Anzu ZU-J70,Anzu ZU-J70.mtf,meks/3145/Marik/Anzu ZU-J70.mtf,6511,60,Heavy,1584,calculated,10990800,calculated,Inner Sphere,Standard,3106,Republic,Skirmisher,TR:3145:FWL,4,6,4,240,XL Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),IS Endo Steel,176,11,5,ER Small Laser; MML 7; ER Medium Laser; Snub-Nose PPC; Rotary AC/5,
meks-meks-3055u-apollo-apl-1m,meks,Apollo,APL-1M,Apollo APL-1M,Apollo APL-1M.mtf,meks/3055U/Apollo APL-1M.mtf,54,55,Medium,1207,calculated,4680173,calculated,Inner Sphere,Standard,3054,Clan Invasion,Missile Boat,TR:3055U,4,6,,220,Standard Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),Standard,184,11.5,4,2x LRM 15; 2x Small Pulse Laser,
meks-meks-3055u-apollo-apl-1r,meks,Apollo,APL-1R,Apollo APL-1R,Apollo APL-1R.mtf,meks/3055U/Apollo APL-1R.mtf,55,55,Medium,1148,calculated,4370173,calculated,Inner Sphere,Standard,3056,Clan Invasion,Missile Boat,TR:3055U,4,6,,220,Standard Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),Standard,184,11.5,4,2x LRM 15; 2x Small Pulse Laser,
meks-meks-3055u-apollo-apl-2s,meks,Apollo,APL-2S,Apollo APL-2S,Apollo APL-2S.mtf,meks/3055U/Apollo APL-2S.mtf,56,55,Medium,1283,calculated,4754573,calculated,Inner Sphere,Standard,3056,Clan Invasion,Missile Boat,TR:3055U,4,6,,220,Standard Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),Standard,184,11.5,4,2x LRM 15; 2x Medium Laser,
meks-meks-3055u-apollo-apl-3t,meks,Apollo,APL-3T,Apollo APL-3T,Apollo APL-3T.mtf,meks/3055U/Apollo APL-3T.mtf,57,55,Medium,1240,calculated,4708073,calculated,Inner Sphere,Standard,3057,Clan Invasion,Missile Boat,TR:3055U,4,6,,220,Standard Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),Standard,184,11.5,6,2x Medium Pulse Laser; 2x LRM 10; 2x Medium Laser,
